Task | Success rate | Errors
bucket | 100.0% | [] 
bucket-bucket_log | 100.0% | [] 
bucket-bucket_object | 0.0% | [0, 1, 3, 5, 31] 
bucket_state_import | 100.0% | [] 
customer_gateway | 100.0% | [] 
data_ami | 0.0% | [0, 1, 10, 11, 12, 16, 19, 23, 30, 35] 
data_ami-instance | 0.0% | [0, 1, 10, 11, 14, 23, 46] 
db_instance | 0.0% | [0, 1, 2, 10, 11, 19, 24, 27, 28, 36] 
elb | 0.0% | [0, 1, 2, 10, 11, 12, 13, 14, 21, 24, 35, 40, 49, 55] 
iam_user | 0.0% | [0, 1, 14, 19, 58] 
instance | 100.0% | [] 
instance-output_dns | 100.0% | [] 
instance-output_ip | 100.0% | [] 
instance-time | 0.0% | [0, 1, 2, 10, 17, 37] 
instance_before_destroy | 100.0% | [] 
instance_connection | 100.0% | [] 
instance_count | 100.0% | [] 
instance_ignore_tags | 100.0% | [] 
instance_prevent_destroy | 98.33333333333333% | [30] 
instance_zone_1 | 100.0% | [] 
instance_zone_2 | 100.0% | [] 
provider-vpc-vpc | 88.33333333333333% | [13, 19] 
random_pet-bucket | 100.0% | [] 
required_version | 100.0% | [] 
security_lots | 10.0% | [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 33, 37, 38, 40, 41, 42, 44, 45, 47, 48, 50, 51, 53, 55, 56, 57] 
security_ssh | 0.0% | [0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 41, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 57, 58] 
security_ssh-instance | 0.0% | [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 53, 54, 55, 56, 57] 
security_web | 0.0% | [0, 1, 2, 4, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19, 25, 27, 31, 32, 33, 34, 35, 37, 39, 42, 43, 46, 52, 55, 56, 59] 
security_web-instance | 0.0% | [0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 29, 30, 32, 33, 34, 35, 37, 38, 40, 42, 44, 46, 48, 49, 50, 51, 52, 53, 55, 56, 57, 58, 59] 
service_quota | 100.0% | [] 
variable-instance | 100.0% | [] 
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2, 3, 5, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 31, 33, 34, 37, 38, 40, 41, 42, 45, 47, 49, 50, 53, 54, 55, 56] 
variable_condition | 0.0% | [0, 1, 2, 7, 9, 10, 11, 15, 18, 19, 20, 22, 23, 28, 29, 31, 32, 34, 35, 36, 38, 42, 43, 45, 55, 56] 
variable_map | 98.33333333333333% | [48] 
variable_region | 100.0% | [] 
vpc | 100.0% | [] 
vpc-default_network_acl | 56.666666666666664% | [0, 1, 10, 13, 17, 22, 48, 51, 56] 
vpc-egress_only_internet_gateway | 100.0% | [] 
vpc-gateway | 68.33333333333333% | [10, 13, 18, 25, 35, 42, 47] 
vpc-gateway-instance-eip | 6.666666666666667% | [0, 1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 26, 29, 34, 35, 36, 42, 45, 48, 50, 51, 54, 55, 57, 58, 59] 
vpc-gateway-route_table-route | 86.66666666666667% | [10, 23, 27, 34, 35, 37, 40] 
vpc-service_discovery_private_dns | 100.0% | [] 
vpc-subnet | 51.66666666666667% | [0, 1, 2, 3, 6, 7, 11, 12, 13, 21, 23, 29, 30, 36, 44, 56] 
vpc-subnet-instance | 5.0% | [0, 5, 7, 10, 11, 19, 36, 42, 54] 
vpc-subnet-nat | 0.0% | [0, 1, 2, 3, 4, 9, 10, 11, 12, 13, 15, 16, 18, 23, 28, 30, 32, 36, 37, 38, 39, 40, 44, 51, 53, 55, 56] 
vpc-vpn-customer_gateway | 100.0% | [] 
vpc-vpn-customer_gateway-connection | 100.0% | [] 
wafv2_ip_set | 100.0% | [] 
workspaces_ip_group | 86.66666666666667% | [27, 29, 39, 41, 44, 57] 
Average success rate 62.38095238095238%
